name,code,average income,median age
"Bowling Green, KY",31000US14540,43295.0,34.9
"Bozeman, MT",31000US14580,55553.0,33.2
"Bradford, PA",31000US14620,43965.0,42.4
"Brainerd, MN",31000US14660,48249.0,44.9
"Branson, MO",31000US14700,39096.0,45.4
"Breckenridge, CO Micro Area",31000US14720,67983.0,37.1
"Bremerton-Silverdale, WA",31000US14740,62941.0,39.3
"Brenham, TX",31000US14780,51269.0,42.0
"Brevard, NC",31000US14820,45114.0,50.1
"Bridgeport-Stamford-Norwalk, CT Metro Area",31000US14860,84233.0,39.7
"Brookhaven, MS",31000US15020,36473.0,37.7
"Brookings, OR",31000US15060,40884.0,54.6
"Brookings, SD",31000US15100,50082.0,26.4
"Brownsville-Harlingen, TX Metro Area",31000US15180,33266.0,31.2
"Brownwood, TX",31000US15220,41962.0,41.0
"Brunswick, GA",31000US15260,44185.0,40.9
"Bucyrus, OH",31000US15340,40795.0,42.6
"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",31000US15380,50962.0,40.9
"Burley, ID",31000US15420,45287.0,33.7
"Burlington, IA-IL",31000US15460,44735.0,43.1
"Burlington, NC",31000US15500,41814.0,39.2
"Burlington-South Burlington, VT",31000US15540,63255.0,37.7
"Butte-Silver Bow, MT",31000US15580,37749.0,40.6
"Cadillac, MI",31000US15620,41403.0,42.2
"Calhoun, GA",31000US15660,41612.0,37.0
"California-Lexington Park, MD Metro Area",31000US15680,86987.0,36.3
"Cambridge, MD",31000US15700,47093.0,43.8
"Cambridge, OH",31000US15740,40930.0,42.2
"Camden, AR",31000US15780,32194.0,43.1
"Campbellsville, KY",31000US15820,33340.0,39.2
"Cañon City, CO",31000US15860,40423.0,43.5
"Canton, IL",31000US15900,46083.0,42.2
"Canton-Massillon, OH Metro Area",31000US15940,47132.0,42.0
"Cape Coral-Fort Myers, FL Metro Area",31000US15980,48537.0,46.9
"Cape Girardeau, MO-IL Metro Area",31000US16020,43034.0,37.3
"Carbondale-Marion, IL Metro Area",31000US16060,40071.0,36.0
"Carlsbad-Artesia, NM",31000US16100,56618.0,36.5
"Carson City, NV",31000US16180,47668.0,42.6
"Casper, WY",31000US16220,56871.0,36.0
"Cedar City, UT",31000US16260,43855.0,28.1
"Cedar Rapids, IA",31000US16300,59032.0,38.0
"Cedartown, GA",31000US16340,37853.0,37.2
"Celina, OH",31000US16380,53099.0,40.1
"Centralia, IL",31000US16460,42238.0,41.7
"Centralia, WA",31000US16500,44100.0,42.8
"Chambersburg-Waynesboro, PA Metro Area",31000US16540,53916.0,40.9
"Champaign-Urbana, IL",31000US16580,48323.0,30.8
"Charleston, WV",31000US16620,44666.0,42.7
"Charleston-Mattoon, IL",31000US16660,40512.0,35.0
"Charleston-North Charleston, SC Metro Area",31000US16700,53447.0,36.0
"Charlotte-Concord-Gastonia, NC-SC Metro Area",31000US16740,53076.0,36.9
"Charlottesville, VA",31000US16820,60240.0,37.7
"Chattanooga, TN-GA Metro Area",31000US16860,46968.0,39.8
"Cheyenne, WY",31000US16940,60706.0,36.7
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",31000US16980,61828.0,36.5
"Chico, CA",31000US17020,43444.0,36.8
"Chillicothe, OH",31000US17060,43345.0,40.6
"Cincinnati, OH-KY-IN Metro Area",31000US17140,55501.0,37.5
"Claremont-Lebanon, NH-VT Micro Area",31000US17200,54744.0,44.4
"Clarksburg, WV",31000US17220,43728.0,42.2
"Clarksdale, MS",31000US17260,28851.0,33.5
"Clarksville, TN-KY",31000US17300,46614.0,30.3
"Clearlake, CA",31000US17340,35578.0,45.5
"Cleveland, MS",31000US17380,27585.0,34.7
"Cleveland, TN",31000US17420,41643.0,40.0
"Cleveland-Elyria, OH Metro Area",31000US17460,49925.0,41.1
"Clewiston, FL",31000US17500,36771.0,33.8
"Clinton, IA",31000US17540,50498.0,42.1
"Clovis, NM",31000US17580,41084.0,30.7
"Coeur d'Alene, ID",31000US17660,49403.0,39.4
"Coffeyville, KS",31000US17700,41083.0,39.4
"Coldwater, MI",31000US17740,44373.0,40.6
"College Station-Bryan, TX",31000US17780,41067.0,26.5
"Colorado Springs, CO Metro Area",31000US17820,58414.0,34.1
"Columbia, MO",31000US17860,49899.0,30.1
"Columbia, SC Metro Area",31000US17900,49793.0,36.0
"Columbus, GA-AL",31000US17980,42456.0,34.1
"Columbus, IN",31000US18020,55050.0,38.1
"Columbus, MS",31000US18060,40239.0,36.3
"Columbus, NE",31000US18100,56318.0,38.0
"Columbus, OH Metro Area",31000US18140,55878.0,35.7
"Concord, NH",31000US18180,65983.0,42.6
"Connersville, IN",31000US18220,39379.0,42.2
"Cookeville, TN",31000US18260,34841.0,38.8
"Coos Bay, OR",31000US18300,38605.0,48.1
"Cordele, GA",31000US18380,31615.0,38.4
"Corinth, MS",31000US18420,36163.0,39.9
"Cornelia, GA",31000US18460,40907.0,38.8
"Corning, NY",31000US18500,47280.0,42.0
"Corpus Christi, TX Metro Area",31000US18580,50267.0,35.7
"Corsicana, TX",31000US18620,41505.0,38.2
"Cortland, NY",31000US18660,49514.0,36.1
"Corvallis, OR",31000US18700,49802.0,32.7
"Coshocton, OH",31000US18740,41701.0,41.5
"Craig, CO Micro Area",31000US18780,51387.0,37.1
"Crawfordsville, IN",31000US18820,48213.0,40.2
"Crescent City, CA",31000US18860,40847.0,38.8
"Crestview-Fort Walton Beach-Destin, FL",31000US18880,53246.0,38.4
"Crossville, TN",31000US18900,38576.0,49.7
"Cullman, AL",31000US18980,38971.0,40.5
"Cullowhee, NC Micro Area",31000US19000,38015.0,36.8
"Cumberland, MD-WV",31000US19060,38140.0,42.0
"Dallas-Fort Worth-Arlington, TX Metro Area",31000US19100,59946.0,34.3
"Dalton, GA",31000US19140,39459.0,35.6
"Danville, IL",31000US19180,42977.0,40.0
"Danville, KY",31000US19220,38436.0,40.7
"Danville, VA Micro Area",31000US19260,38228.0,44.2
"Daphne-Fairhope-Foley, AL Metro Area",31000US19300,50254.0,42.2
"Davenport-Moline-Rock Island, IA-IL Metro Area",31000US19340,52316.0,39.3
"Dayton, OH Metro Area",31000US19380,47654.0,39.4
"Dayton, TN Micro Area",31000US19420,36146.0,40.5
"Decatur, AL",31000US19460,44403.0,40.0
"Decatur, IL",31000US19500,47176.0,40.6
"Decatur, IN",31000US19540,48188.0,33.8
"Defiance, OH",31000US19580,50663.0,39.7
"Del Rio, TX",31000US19620,42174.0,31.7
"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",31000US19660,42159.0,46.8
"Deming, NM",31000US19700,27476.0,39.0
"Denver-Aurora-Lakewood, CO Metro Area",31000US19740,65614.0,36.1
"DeRidder, LA",31000US19760,45969.0,37.5
"Des Moines-West Des Moines, IA Metro Area",31000US19780,61844.0,35.4
"Detroit-Warren-Dearborn, MI Metro Area",31000US19820,52603.0,39.8
